study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJNA36679	SAMN00014235	SRS003472	SRX006151	SRR018292	7227	Drosophila melanogaster	Illumina Genome Analyzer	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018292/SRR018292_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018292/SRR018292_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018292/SRR018292_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018292/SRR018292_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018292	ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018292		
PRJNA36679	SAMN00014235	SRS003472	SRX006151	SRR018293	7227	Drosophila melanogaster	Illumina Genome Analyzer	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018293/SRR018293_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018293/SRR018293_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018293/SRR018293_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018293/SRR018293_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018293	ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018293		
PRJNA36679	SAMN00014235	SRS003472	SRX006152	SRR018294	7227	Drosophila melanogaster	Illumina Genome Analyzer	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018294/SRR018294_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018294/SRR018294_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018294/SRR018294_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018294/SRR018294_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018294	ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018294		
PRJNA36679	SAMN00014240	SRS003477	SRX006158	SRR018305	7227	Drosophila melanogaster	Illumina Genome Analyzer	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018305/SRR018305_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018305/SRR018305_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018305/SRR018305_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018305/SRR018305_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018305	ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018305		
PRJNA36679	SAMN00014240	SRS003477	SRX006158	SRR018306	7227	Drosophila melanogaster	Illumina Genome Analyzer	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018306/SRR018306_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018306/SRR018306_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018306/SRR018306_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018306/SRR018306_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018306	ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018306		
PRJNA36679	SAMN00014255	SRS004125	SRX006275	SRR018517	7227	Drosophila melanogaster	Illumina Genome Analyzer	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018517/SRR018517_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018517/SRR018517_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018517/SRR018517_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018517/SRR018517_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018517	ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018517		
PRJNA36679	SAMN00014255	SRS004125	SRX006276	SRR018518	7227	Drosophila melanogaster	Illumina Genome Analyzer	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018518/SRR018518_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018518/SRR018518_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018518/SRR018518_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018518/SRR018518_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018518	ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018518		
PRJNA36679	SAMN00014255	SRS004125	SRX006277	SRR018519	7227	Drosophila melanogaster	Illumina Genome Analyzer	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018519/SRR018519.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018519/SRR018519.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018519	ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018519		
PRJNA36679	SAMN00014256	SRS004126	SRX006278	SRR018521	7227	Drosophila melanogaster	Illumina Genome Analyzer	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018521/SRR018521_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018521/SRR018521_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018521/SRR018521_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018521/SRR018521_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018521	ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018521		
PRJNA36679	SAMN00014256	SRS004126	SRX006279	SRR018522	7227	Drosophila melanogaster	Illumina Genome Analyzer	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018522/SRR018522_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018522/SRR018522_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018522/SRR018522_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018522/SRR018522_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018522	ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018522		
PRJNA36679	SAMN00014256	SRS004126	SRX006280	SRR018523	7227	Drosophila melanogaster	Illumina Genome Analyzer	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018523/SRR018523.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018523/SRR018523.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018523	ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018523		
